measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,17,Sri Lanka,3,Both,22,All ages,495,Ischemic stroke,2,Percent,2013,0.008176440492553,0.0085123014589665,0.0078784681668569
5,Prevalence,20,Viet Nam,3,Both,22,All ages,543,Alzheimer's disease and other dementias,2,Percent,2013,0.0047650979799381,0.0054468443868169,0.004123378940088
5,Prevalence,67,Japan,3,Both,22,All ages,515,Asthma,2,Percent,2013,0.0392281986528251,0.0449385423692127,0.0338891223549409
5,Prevalence,79,Finland,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,2,Percent,2013,0.0427661357362191,0.0478216719689897,0.0382020564563723
5,Prevalence,17,Sri Lanka,3,Both,22,All ages,515,Asthma,2,Percent,2013,0.0373696166458088,0.0415916208276989,0.0335473545243938
5,Prevalence,79,Finland,3,Both,22,All ages,495,Ischemic stroke,2,Percent,2013,0.0188706385220978,0.0196057831382261,0.0181261033407004
5,Prevalence,79,Finland,3,Both,22,All ages,515,Asthma,2,Percent,2013,0.0732280120382876,0.0821051431977235,0.0648185971730948
5,Prevalence,67,Japan,3,Both,22,All ages,543,Alzheimer's disease and other dementias,2,Percent,2013,0.0228807439137664,0.026160988332709,0.0196490780607416
5,Prevalence,6,China,3,Both,22,All ages,589,Chronic kidney disease,2,Percent,2013,0.0812152366675227,0.0877271442917976,0.0753417733509761
5,Prevalence,79,Finland,3,Both,22,All ages,543,Alzheimer's disease and other dementias,2,Percent,2013,0.0153970926379759,0.0177499102193032,0.0130954883078122
5,Prevalence,17,Sri Lanka,3,Both,22,All ages,543,Alzheimer's disease and other dementias,2,Percent,2013,0.0054658283284068,0.0062149348277387,0.0047010743895652
5,Prevalence,20,Viet Nam,3,Both,22,All ages,589,Chronic kidney disease,2,Percent,2013,0.0927435367465971,0.1014875383267543,0.0848355552902045
5,Prevalence,20,Viet Nam,3,Both,22,All ages,429,Breast cancer,2,Percent,2013,0.0010875605151955,0.0013167315309235,0.0008751789791085
5,Prevalence,17,Sri Lanka,3,Both,22,All ages,589,Chronic kidney disease,2,Percent,2013,0.1125358383128729,0.1225166508697284,0.1032774362443487
5,Prevalence,6,China,3,Both,22,All ages,429,Breast cancer,2,Percent,2013,0.0020320094513012,0.0022814179955494,0.0017850510625565
5,Prevalence,6,China,3,Both,22,All ages,976,Diabetes mellitus type 2,2,Percent,2013,0.0675105393236538,0.0732263416582868,0.0622734523353104
5,Prevalence,20,Viet Nam,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,2,Percent,2013,0.0185233926494451,0.0208101580898429,0.0164308611459067
5,Prevalence,20,Viet Nam,3,Both,22,All ages,976,Diabetes mellitus type 2,2,Percent,2013,0.0298010573292941,0.0317415375517397,0.0278451912213608
5,Prevalence,67,Japan,3,Both,22,All ages,589,Chronic kidney disease,2,Percent,2013,0.170989543044081,0.1817111942261255,0.1587180183006509
5,Prevalence,17,Sri Lanka,3,Both,22,All ages,976,Diabetes mellitus type 2,2,Percent,2013,0.0931939070780294,0.0988835380163485,0.0875007134878015
5,Prevalence,86,Italy,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,2,Percent,2013,0.0503465400416117,0.0571164269191292,0.0438566025973671
5,Prevalence,86,Italy,3,Both,22,All ages,429,Breast cancer,2,Percent,2013,0.0102196223625751,0.0108941491036411,0.0094902414957058
5,Prevalence,20,Viet Nam,3,Both,22,All ages,495,Ischemic stroke,2,Percent,2013,0.0074434861060623,0.0076860883413463,0.0071959170051325
5,Prevalence,86,Italy,3,Both,22,All ages,976,Diabetes mellitus type 2,2,Percent,2013,0.0671278604151481,0.0756627282585279,0.0593055903884597
5,Prevalence,79,Finland,3,Both,22,All ages,589,Chronic kidney disease,2,Percent,2013,0.0935445279590381,0.0995452130788051,0.0877673970173208
5,Prevalence,6,China,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,2,Percent,2013,0.0319570273215605,0.0356797925635087,0.0286596894582981
5,Prevalence,17,Sri Lanka,3,Both,22,All ages,429,Breast cancer,2,Percent,2013,0.0015616953850393,0.0016889959524545,0.0014327726370641
5,Prevalence,86,Italy,3,Both,22,All ages,495,Ischemic stroke,2,Percent,2013,0.0092760247533213,0.0100873774275617,0.008507950576413
5,Prevalence,6,China,3,Both,22,All ages,495,Ischemic stroke,2,Percent,2013,0.0116049238362658,0.012540899287307,0.0107332883934957
